"","predicted.Sub_cell_type","predicted.Sub_cell_type_organ","predicted.Main_cell_type.score","predicted.Sub_cell_type.score","predicted.Sub_cell_type_organ.score","mapping.score","Azimuth.Pansci.Class","Azimuth.Pansci.Subclass","Azimuth.Cortex.Class","Azimuth.Cortex.Subclass","RNA.class_label","RNA.class_name","RNA.class_bootstrapping_probability","RNA.subclass_label","RNA.subclass_name","RNA.subclass_bootstrapping_probability","RNA.supertype_label","RNA.supertype_name","RNA.supertype_bootstrapping_probability","RNA.cluster_label","RNA.cluster_name","RNA.cluster_alias","RNA.cluster_bootstrapping_probability","mCG.class_label","mCG.class_name","mCG.class_bootstrapping_probability","mCG.subclass_label","mCG.subclass_name","mCG.subclass_bootstrapping_probability","mCG.supertype_label","mCG.supertype_name","mCG.supertype_bootstrapping_probability","mCG.cluster_label","mCG.cluster_name","mCG.cluster_alias","mCG.cluster_bootstrapping_probability","Brainmap.RNA.Class","Brainmap.RNA.Subclass","Brainmap.mCG.Class","Brainmap.mCG.Subclass","seurat_clusters","cell_type"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_E19","Cortical projection neurons 2_3","Cortical projection neurons 2_3_Brain",0.913800307734947,0.458395819592165,0.458395819592165,0.987242791663042,"Cortical projection neurons 2","Cortical projection neurons 1_3","Glutamatergic","L6 CT","CS20230722_CLAS_02","02 NP-CT-L6b Glut",1,"CS20230722_SUBC_030","030 L6 CT CTX Glut",0.73,"CS20230722_SUPT_0115","0115 L6 CT CTX Glut_2",0.82,"CS20230722_CLUS_0441","0441 L6 CT CTX Glut_2",57,0.82,"CS20230722_CLAS_14","14 HY Glut",0.91,"CS20230722_SUBC_126","126 ARH-PVp Tbx3 Glut",0.96,"CS20230722_SUPT_0554","0554 ARH-PVp Tbx3 Glut_1",0.96,"CS20230722_CLUS_2276","2276 ARH-PVp Tbx3 Glut_1",1974,0.96,"02 NP-CT-L6b Glut","030 L6 CT CTX Glut","24 MY Glut","261 HB Calcb Chol","10","L5 ET"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_E20","Cortical projection neurons 1_21","Cortical projection neurons 1_21_Brain",0.655118134602521,0.266908920023077,0.266908920023077,0.894915124926379,"Cortical projection neurons 1","Cortical projection neurons 1_13","Glutamatergic","L5 ET","CS20230722_CLAS_02","02 NP-CT-L6b Glut",1,"CS20230722_SUBC_031","031 CT SUB Glut",0.96,"CS20230722_SUPT_0121","0121 CT SUB Glut_2",1,"CS20230722_CLUS_0460","0460 CT SUB Glut_2",55,1,"CS20230722_CLAS_11","11 CNU-HYa GABA",0.48,"CS20230722_SUBC_081","081 ACB-BST-FS D1 Gaba",0.58,"CS20230722_SUPT_0382","0382 ACB-BST-FS D1 Gaba_2",0.77,"CS20230722_CLUS_1379","1379 ACB-BST-FS D1 Gaba_2",1203,0.77,"02 NP-CT-L6b Glut","023 SUB-ProS Glut","24 MY Glut","261 HB Calcb Chol","11","L5 ET"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_E22","Dentate gyrus neurons_8","Dentate gyrus neurons_8_Brain",0.397685391700078,0.354007279034695,0.354007279034695,0.7938841752555,"Dentate gyrus neurons","Dentate gyrus neurons_8","Glutamatergic","Meis2","CS20230722_CLAS_04","04 DG-IMN Glut",1,"CS20230722_SUBC_038","038 DG-PIR Ex IMN",1,"CS20230722_SUPT_0141","0141 DG-PIR Ex IMN_2",1,"CS20230722_CLUS_0514","0514 DG-PIR Ex IMN_2",1406,1,"CS20230722_CLAS_08","08 CNU-MGE GABA",0.38,"CS20230722_SUBC_057","057 NDB-SI-MA-STRv Lhx8 Gaba",0.94,"CS20230722_SUPT_0245","0245 NDB-SI-MA-STRv Lhx8 Gaba_2",0.67,"CS20230722_CLUS_0876","0876 NDB-SI-MA-STRv Lhx8 Gaba_2",834,0.67,"04 DG-IMN Glut","038 DG-PIR Ex IMN","24 MY Glut","261 HB Calcb Chol","12","Meis2"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_E23","Astrocytes_14","Astrocytes_14_Brain",0.945978191918644,0.497540947314398,0.497540947314398,0.986220902726646,"Astrocytes","Astrocytes_14","Non-Neuronal","Astro","CS20230722_CLAS_26","26 P GABA",0.36,"CS20230722_SUBC_272","272 LDT-PCG-CS Gata3 Lhx1 Gaba",0.99,"CS20230722_SUPT_1060","1060 LDT-PCG-CS Gata3 Lhx1 Gaba_5",0.52,"CS20230722_CLUS_4748","4748 LDT-PCG-CS Gata3 Lhx1 Gaba_5",3213,0.52,"CS20230722_CLAS_24","24 MY Glut",0.92,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1029","1029 HB Calcb Chol_5",0.92,"CS20230722_CLUS_4605","4605 HB Calcb Chol_5",8958,0.92,"30 Astro-Epen","319 Astro-TE NN","24 MY Glut","261 HB Calcb Chol","5","Astro"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_F1","Interneurons 1_3","Interneurons 1_3_Brain",0.979561685422003,0.360120956232275,0.360120956232275,0.975748578774424,"Interneurons 1","Interneurons 1_3","GABAergic","Sst","CS20230722_CLAS_07","07 CTX-MGE GABA",1,"CS20230722_SUBC_053","053 Sst Gaba",1,"CS20230722_SUPT_0216","0216 Sst Gaba_3",1,"CS20230722_CLUS_0772","0772 Sst Gaba_3",543,1,"CS20230722_CLAS_14","14 HY Glut",0.52,"CS20230722_SUBC_126","126 ARH-PVp Tbx3 Glut",0.65,"CS20230722_SUPT_0554","0554 ARH-PVp Tbx3 Glut_1",0.88,"CS20230722_CLUS_2276","2276 ARH-PVp Tbx3 Glut_1",1974,0.88,"07 CTX-MGE GABA","053 Sst Gaba","24 MY Glut","261 HB Calcb Chol","2","Sst"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_F2","Cortical projection neurons 1_22","Cortical projection neurons 1_22_Brain",0.942210846633825,0.226402440541265,0.226402440541265,0.971863155277875,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_015","015 ENTmv-PA-COAp Glut",1,"CS20230722_SUPT_0066","0066 ENTmv-PA-COAp Glut_1",1,"CS20230722_CLUS_0252","0252 ENTmv-PA-COAp Glut_1",324,1,"CS20230722_CLAS_24","24 MY Glut",0.94,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1029","1029 HB Calcb Chol_5",0.97,"CS20230722_CLUS_4605","4605 HB Calcb Chol_5",8958,0.97,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","1","L5 ET"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_F3","Interneurons 1_11","Interneurons 1_11_Brain",0.95965334130021,0.683937871531672,0.683937871531672,0.965508141017378,"Interneurons 1","Interneurons 1_3","GABAergic","Sst","CS20230722_CLAS_07","07 CTX-MGE GABA",1,"CS20230722_SUBC_053","053 Sst Gaba",1,"CS20230722_SUPT_0216","0216 Sst Gaba_3",0.97,"CS20230722_CLUS_0770","0770 Sst Gaba_3",541,0.97,"CS20230722_CLAS_24","24 MY Glut",0.49,"CS20230722_SUBC_261","261 HB Calcb Chol",0.99,"CS20230722_SUPT_1027","1027 HB Calcb Chol_3",0.96,"CS20230722_CLUS_4603","4603 HB Calcb Chol_3",8956,0.96,"07 CTX-MGE GABA","053 Sst Gaba","24 MY Glut","261 HB Calcb Chol","2","Sst"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_F4","Cortical projection neurons 1_8","Cortical projection neurons 1_8_Brain",0.514076685953165,0.158445271430034,0.158445271430034,0.896196508872498,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_01","01 IT-ET Glut",0.95,"CS20230722_SUBC_016","016 CA1-ProS Glut",1,"CS20230722_SUPT_0071","0071 CA1-ProS Glut_3",1,"CS20230722_CLUS_0279","0279 CA1-ProS Glut_3",345,1,"CS20230722_CLAS_24","24 MY Glut",0.65,"CS20230722_SUBC_243","243 PGRN-PARN-MDRN Hoxb5 Glut",0.79,"CS20230722_SUPT_0974","0974 PGRN-PARN-MDRN Hoxb5 Glut_2",0.98,"CS20230722_CLUS_4347","4347 PGRN-PARN-MDRN Hoxb5 Glut_2",24414,0.98,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","1","L5 ET"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_F5","Cortical projection neurons 1_1","Cortical projection neurons 1_1_Brain",0.865254372193715,0.194963888811349,0.194963888811349,0.898508747600595,"Cortical projection neurons 1","Cortical projection neurons 1_12","Glutamatergic","L5 IT","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_012","012 MEA Slc17a7 Glut",0.96,"CS20230722_SUPT_0056","0056 MEA Slc17a7 Glut_2",1,"CS20230722_CLUS_0209","0209 MEA Slc17a7 Glut_2",488,1,"CS20230722_CLAS_13","13 CNU-HYa Glut",0.55,"CS20230722_SUBC_122","122 LHA-MEA Otp Glut",0.66,"CS20230722_SUPT_0542","0542 LHA-MEA Otp Glut_1",0.47,"CS20230722_CLUS_2221","2221 LHA-MEA Otp Glut_1",2482,0.47,"01 IT-ET Glut","009 L2/3 IT PIR-ENTl Glut","24 MY Glut","261 HB Calcb Chol","14","L5 IT"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_F6","Cortical projection neurons 1_8","Cortical projection neurons 1_8_Brain",1,0.96834685890081,0.96834685890081,0.87838964518278,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_01","01 IT-ET Glut",0.99,"CS20230722_SUBC_016","016 CA1-ProS Glut",1,"CS20230722_SUPT_0070","0070 CA1-ProS Glut_2",0.83,"CS20230722_CLUS_0273","0273 CA1-ProS Glut_2",352,0.83,"CS20230722_CLAS_24","24 MY Glut",0.61,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1027","1027 HB Calcb Chol_3",0.99,"CS20230722_CLUS_4603","4603 HB Calcb Chol_3",8956,0.99,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","1","L5 ET"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_F7","Interneurons 2_1","Interneurons 2_1_Brain",0.987636168078991,0.330225465920064,0.330225465920064,0.99719338554185,"Interneurons 2","OB neurons 1_11","GABAergic","L5 ET","CS20230722_CLAS_06","06 CTX-CGE GABA",1,"CS20230722_SUBC_047","047 Sncg Gaba",0.85,"CS20230722_SUPT_0187","0187 Sncg Gaba_3",1,"CS20230722_CLUS_0675","0675 Sncg Gaba_3",645,1,"CS20230722_CLAS_23","23 P Glut",0.39,"CS20230722_SUBC_220","220 PB Pax5 Glut",0.94,"CS20230722_SUPT_0904","0904 PB Pax5 Glut_1",0.97,"CS20230722_CLUS_3971","3971 PB Pax5 Glut_1",4298,0.97,"06 CTX-CGE GABA","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","3","L5 ET"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_F8","Ependymal cells_1","Ependymal cells_1_Brain",0.981055049978335,0.707407893996165,0.707407893996165,0.99986697401352,"Ependymal cells","Ependymal cells_1","GABAergic","Meis2","CS20230722_CLAS_30","30 Astro-Epen",0.73,"CS20230722_SUBC_323","323 Ependymal NN",1,"CS20230722_SUPT_1176","1176 Ependymal NN_2",0.86,"CS20230722_CLUS_5262","5262 Ependymal NN_2",14879,0.86,"CS20230722_CLAS_08","08 CNU-MGE GABA",0.51,"CS20230722_SUBC_057","057 NDB-SI-MA-STRv Lhx8 Gaba",0.83,"CS20230722_SUPT_0247","0247 NDB-SI-MA-STRv Lhx8 Gaba_4",0.9,"CS20230722_CLUS_0889","0889 NDB-SI-MA-STRv Lhx8 Gaba_4",816,0.9,"30 Astro-Epen","323 Ependymal NN","24 MY Glut","261 HB Calcb Chol","20","Meis2"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_F9","Interneurons 1_3","Interneurons 1_3_Brain",0.957258491721862,0.719701437947134,0.719701437947134,0.981216737437838,"Interneurons 1","Interneurons 1_3","GABAergic","Sst","CS20230722_CLAS_07","07 CTX-MGE GABA",0.9,"CS20230722_SUBC_053","053 Sst Gaba",1,"CS20230722_SUPT_0219","0219 Sst Gaba_6",1,"CS20230722_CLUS_0789","0789 Sst Gaba_6",538,1,"CS20230722_CLAS_22","22 MB-HB Sero",0.31,"CS20230722_SUBC_216","216 MB-MY Tph2 Glut-Sero",1,"CS20230722_SUPT_0889","0889 MB-MY Tph2 Glut-Sero_2",0.56,"CS20230722_CLUS_3891","3891 MB-MY Tph2 Glut-Sero_2",2858,0.56,"07 CTX-MGE GABA","053 Sst Gaba","24 MY Glut","261 HB Calcb Chol","2","Sst"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_F10","Dentate gyrus neurons_8","Dentate gyrus neurons_8_Brain",0.291869307039494,0.189671225086342,0.189671225086342,0.341252272147511,"Cortical projection neurons 1","Dentate gyrus neurons_8","Glutamatergic","L5 ET","CS20230722_CLAS_23","23 P Glut",0.66,"CS20230722_SUBC_220","220 PB Pax5 Glut",0.55,"CS20230722_SUPT_0905","0905 PB Pax5 Glut_2",1,"CS20230722_CLUS_3972","3972 PB Pax5 Glut_2",4289,1,"CS20230722_CLAS_22","22 MB-HB Sero",0.64,"CS20230722_SUBC_216","216 MB-MY Tph2 Glut-Sero",1,"CS20230722_SUPT_0890","0890 MB-MY Tph2 Glut-Sero_3",0.47,"CS20230722_CLUS_3897","3897 MB-MY Tph2 Glut-Sero_3",2853,0.47,"02 NP-CT-L6b Glut","030 L6 CT CTX Glut","24 MY Glut","261 HB Calcb Chol","8","L5 ET"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_F11","Cortical projection neurons 1_8","Cortical projection neurons 1_8_Brain",0.96440254531951,0.929560363969682,0.929560363969682,0.754959343631806,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_01","01 IT-ET Glut",0.82,"CS20230722_SUBC_016","016 CA1-ProS Glut",1,"CS20230722_SUPT_0072","0072 CA1-ProS Glut_4",0.73,"CS20230722_CLUS_0286","0286 CA1-ProS Glut_4",354,0.73,"CS20230722_CLAS_19","19 MB Glut",0.87,"CS20230722_SUBC_181","181 IC Tfap2d Maf Glut",0.5,"CS20230722_SUPT_0775","0775 IC Tfap2d Maf Glut_6",0.52,"CS20230722_CLUS_3318","3318 IC Tfap2d Maf Glut_6",4571,0.52,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","1","L5 ET"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_F12","Cortical projection neurons 1_6","Cortical projection neurons 1_6_Brain",0.992530786209988,0.644092383518909,0.644092383518909,0.977287208220039,"Cortical projection neurons 1","Cortical projection neurons 1_6","Glutamatergic","L2/3 IT","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_017","017 CA3 Glut",1,"CS20230722_SUPT_0078","0078 CA3 Glut_4",0.73,"CS20230722_CLUS_0315","0315 CA3 Glut_4",421,0.73,"CS20230722_CLAS_11","11 CNU-HYa GABA",0.48,"CS20230722_SUBC_085","085 SI-MPO-LPO Lhx8 Gaba",0.62,"CS20230722_SUPT_0398","0398 SI-MPO-LPO Lhx8 Gaba_3",0.77,"CS20230722_CLUS_1440","1440 SI-MPO-LPO Lhx8 Gaba_3",795,0.77,"01 IT-ET Glut","017 CA3 Glut","24 MY Glut","261 HB Calcb Chol","4","L2/3 IT"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_F13","Cortical projection neurons 1_18","Cortical projection neurons 1_18_Brain",0.663165919148101,0.337835190165611,0.337835190165611,0.888331973181113,"Cortical projection neurons 1","Cortical projection neurons 1_21","Glutamatergic","L5 ET","CS20230722_CLAS_24","24 MY Glut",0.88,"CS20230722_SUBC_243","243 PGRN-PARN-MDRN Hoxb5 Glut",1,"CS20230722_SUPT_0974","0974 PGRN-PARN-MDRN Hoxb5 Glut_2",1,"CS20230722_CLUS_4347","4347 PGRN-PARN-MDRN Hoxb5 Glut_2",24414,1,"CS20230722_CLAS_24","24 MY Glut",1,"CS20230722_SUBC_261","261 HB Calcb Chol",0.97,"CS20230722_SUPT_1027","1027 HB Calcb Chol_3",0.91,"CS20230722_CLUS_4603","4603 HB Calcb Chol_3",8956,0.91,"01 IT-ET Glut","019 L2/3 IT PPP Glut","24 MY Glut","261 HB Calcb Chol","6","L5 ET"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_F14","Cortical projection neurons 2_10","Cortical projection neurons 2_10_Brain",0.81345075234603,0.549082258462077,0.549082258462077,0.934729887554251,"Cortical projection neurons 2","Cortical projection neurons 1_3","Glutamatergic","L6 CT","CS20230722_CLAS_02","02 NP-CT-L6b Glut",1,"CS20230722_SUBC_031","031 CT SUB Glut",1,"CS20230722_SUPT_0121","0121 CT SUB Glut_2",1,"CS20230722_CLUS_0460","0460 CT SUB Glut_2",55,1,"CS20230722_CLAS_24","24 MY Glut",0.93,"CS20230722_SUBC_243","243 PGRN-PARN-MDRN Hoxb5 Glut",0.66,"CS20230722_SUPT_0974","0974 PGRN-PARN-MDRN Hoxb5 Glut_2",1,"CS20230722_CLUS_4347","4347 PGRN-PARN-MDRN Hoxb5 Glut_2",24414,1,"02 NP-CT-L6b Glut","030 L6 CT CTX Glut","24 MY Glut","261 HB Calcb Chol","10","L6 CT"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_F15","Cortical projection neurons 2_9","Cortical projection neurons 2_9_Brain",0.760018313816424,0.209263176367262,0.209263176367262,0.965307260076391,"Cortical projection neurons 2","Cortical projection neurons 1_3","Glutamatergic","L6 CT","CS20230722_CLAS_02","02 NP-CT-L6b Glut",1,"CS20230722_SUBC_030","030 L6 CT CTX Glut",1,"CS20230722_SUPT_0115","0115 L6 CT CTX Glut_2",1,"CS20230722_CLUS_0441","0441 L6 CT CTX Glut_2",57,1,"CS20230722_CLAS_19","19 MB Glut",0.29,"CS20230722_SUBC_155","155 PRC-PAG Pax6 Glut",0.8,"CS20230722_SUPT_0679","0679 PRC-PAG Pax6 Glut_4",1,"CS20230722_CLUS_2748","2748 PRC-PAG Pax6 Glut_4",2312,1,"02 NP-CT-L6b Glut","030 L6 CT CTX Glut","24 MY Glut","261 HB Calcb Chol","10","L6 CT"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_F16","Cortical projection neurons 1_6","Cortical projection neurons 1_6_Brain",0.587832707670871,0.366551954223858,0.366551954223858,0.90314069786611,"Cortical projection neurons 1","Cortical projection neurons 1_6","Glutamatergic","L2/3 IT","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_017","017 CA3 Glut",1,"CS20230722_SUPT_0079","0079 CA3 Glut_5",1,"CS20230722_CLUS_0316","0316 CA3 Glut_5",417,1,"CS20230722_CLAS_26","26 P GABA",0.52,"CS20230722_SUBC_278","278 NLL Gata3 Gly-Gaba",0.7,"CS20230722_SUPT_1074","1074 NLL Gata3 Gly-Gaba_1",0.5,"CS20230722_CLUS_4802","4802 NLL Gata3 Gly-Gaba_1",8795,0.5,"01 IT-ET Glut","017 CA3 Glut","24 MY Glut","261 HB Calcb Chol","4","L2/3 IT"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_F17","Cortical projection neurons 1_6","Cortical projection neurons 1_6_Brain",0.850824318412749,0.631594502789414,0.631594502789414,0.775351068181146,"Cortical projection neurons 1","Cortical projection neurons 1_6","Glutamatergic","L2/3 IT","CS20230722_CLAS_04","04 DG-IMN Glut",0.96,"CS20230722_SUBC_038","038 DG-PIR Ex IMN",1,"CS20230722_SUPT_0141","0141 DG-PIR Ex IMN_2",1,"CS20230722_CLUS_0514","0514 DG-PIR Ex IMN_2",1406,1,"CS20230722_CLAS_24","24 MY Glut",0.98,"CS20230722_SUBC_261","261 HB Calcb Chol",0.99,"CS20230722_SUPT_1027","1027 HB Calcb Chol_3",0.92,"CS20230722_CLUS_4603","4603 HB Calcb Chol_3",8956,0.92,"01 IT-ET Glut","017 CA3 Glut","24 MY Glut","261 HB Calcb Chol","4","L2/3 IT"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_F18","Cortical projection neurons 1_22","Cortical projection neurons 1_22_Brain",0.798086036602819,0.347536434244925,0.347536434244925,0.91952387408243,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_01","01 IT-ET Glut",0.98,"CS20230722_SUBC_019","019 L2/3 IT PPP Glut",1,"CS20230722_SUPT_0086","0086 L2/3 IT PPP Glut_3",1,"CS20230722_CLUS_0337","0337 L2/3 IT PPP Glut_3",300,1,"CS20230722_CLAS_23","23 P Glut",0.54,"CS20230722_SUBC_223","223 B-PB Nr4a2 Glut",0.54,"CS20230722_SUPT_0923","0923 B-PB Nr4a2 Glut_1",1,"CS20230722_CLUS_4095","4095 B-PB Nr4a2 Glut_1",24635,1,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","1","L5 ET"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_F19","Cortical projection neurons 1_8","Cortical projection neurons 1_8_Brain",0.682770654920987,0.339201839194237,0.339201839194237,0.734127973183062,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_016","016 CA1-ProS Glut",1,"CS20230722_SUPT_0070","0070 CA1-ProS Glut_2",0.98,"CS20230722_CLUS_0273","0273 CA1-ProS Glut_2",352,0.98,"CS20230722_CLAS_24","24 MY Glut",0.55,"CS20230722_SUBC_243","243 PGRN-PARN-MDRN Hoxb5 Glut",0.62,"CS20230722_SUPT_0974","0974 PGRN-PARN-MDRN Hoxb5 Glut_2",1,"CS20230722_CLUS_4347","4347 PGRN-PARN-MDRN Hoxb5 Glut_2",24414,1,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","1","L5 ET"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_F20","Interneurons 1_3","Interneurons 1_3_Brain",0.960444958058206,0.219468648634268,0.219468648634268,0.938544946325273,"Interneurons 1","Interneurons 1_3","GABAergic","Sst","CS20230722_CLAS_07","07 CTX-MGE GABA",1,"CS20230722_SUBC_053","053 Sst Gaba",1,"CS20230722_SUPT_0216","0216 Sst Gaba_3",1,"CS20230722_CLUS_0772","0772 Sst Gaba_3",543,1,"CS20230722_CLAS_20","20 MB GABA",0.42,"CS20230722_SUBC_196","196 PAG-PPN Pax5 Sox21 Gaba",0.86,"CS20230722_SUPT_0802","0802 PAG-PPN Pax5 Sox21 Gaba_1",1,"CS20230722_CLUS_3445","3445 PAG-PPN Pax5 Sox21 Gaba_1",3447,1,"07 CTX-MGE GABA","053 Sst Gaba","24 MY Glut","261 HB Calcb Chol","2","Sst"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_F21","Interbrain and midbrain neurons 2_19","Interbrain and midbrain neurons 2_19_Brain",0.495251832739938,0.195497392806758,0.195497392806758,0.89511544494263,"Dentate gyrus neurons","Dentate gyrus neurons_8","Glutamatergic","Meis2","CS20230722_CLAS_04","04 DG-IMN Glut",0.74,"CS20230722_SUBC_038","038 DG-PIR Ex IMN",1,"CS20230722_SUPT_0141","0141 DG-PIR Ex IMN_2",1,"CS20230722_CLUS_0514","0514 DG-PIR Ex IMN_2",1406,1,"CS20230722_CLAS_11","11 CNU-HYa GABA",0.41,"CS20230722_SUBC_089","089 PVR Six3 Sox3 Gaba",0.57,"CS20230722_SUPT_0415","0415 PVR Six3 Sox3 Gaba_5",0.77,"CS20230722_CLUS_1521","1521 PVR Six3 Sox3 Gaba_5",1591,0.77,"04 DG-IMN Glut","038 DG-PIR Ex IMN","24 MY Glut","261 HB Calcb Chol","12","Meis2"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_F22","OB neurons 1_17","OB neurons 1_17_Brain",0.367000698797702,0.268640970104646,0.268640970104646,0.90707969237618,"Astrocytes","Astrocytes_14","Non-Neuronal","Astro","CS20230722_CLAS_31","31 OPC-Oligo",0.82,"CS20230722_SUBC_326","326 OPC NN",1,"CS20230722_SUPT_1179","1179 OPC NN_1",1,"CS20230722_CLUS_5270","5270 OPC NN_1",5207,1,"CS20230722_CLAS_14","14 HY Glut",0.89,"CS20230722_SUBC_126","126 ARH-PVp Tbx3 Glut",0.39,"CS20230722_SUPT_0554","0554 ARH-PVp Tbx3 Glut_1",0.97,"CS20230722_CLUS_2276","2276 ARH-PVp Tbx3 Glut_1",1974,0.97,"30 Astro-Epen","319 Astro-TE NN","24 MY Glut","261 HB Calcb Chol","5","Astro"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_F23","Astrocytes_14","Astrocytes_14_Brain",0.956554762346603,0.404907810376322,0.404907810376322,0.973082918209623,"Astrocytes","Astrocytes_14","Non-Neuronal","Astro","CS20230722_CLAS_24","24 MY Glut",0.43,"CS20230722_SUBC_243","243 PGRN-PARN-MDRN Hoxb5 Glut",1,"CS20230722_SUPT_0974","0974 PGRN-PARN-MDRN Hoxb5 Glut_2",1,"CS20230722_CLUS_4347","4347 PGRN-PARN-MDRN Hoxb5 Glut_2",24414,1,"CS20230722_CLAS_01","01 IT-ET Glut",0.39,"CS20230722_SUBC_012","012 MEA Slc17a7 Glut",0.45,"CS20230722_SUPT_0056","0056 MEA Slc17a7 Glut_2",0.97,"CS20230722_CLUS_0207","0207 MEA Slc17a7 Glut_2",2561,0.97,"30 Astro-Epen","319 Astro-TE NN","24 MY Glut","261 HB Calcb Chol","5","Astro"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_F24","Dentate gyrus neurons_8","Dentate gyrus neurons_8_Brain",0.689945010561907,0.689945010561907,0.689945010561907,0.821040965352095,"Dentate gyrus neurons","Dentate gyrus neurons_8","Glutamatergic","Meis2","CS20230722_CLAS_04","04 DG-IMN Glut",0.96,"CS20230722_SUBC_038","038 DG-PIR Ex IMN",1,"CS20230722_SUPT_0141","0141 DG-PIR Ex IMN_2",0.71,"CS20230722_CLUS_0514","0514 DG-PIR Ex IMN_2",1406,0.71,"CS20230722_CLAS_11","11 CNU-HYa GABA",0.36,"CS20230722_SUBC_082","082 CEA-BST Ebf1 Pdyn Gaba",1,"CS20230722_SUPT_0389","0389 CEA-BST Ebf1 Pdyn Gaba_6",1,"CS20230722_CLUS_1402","1402 CEA-BST Ebf1 Pdyn Gaba_6",1818,1,"04 DG-IMN Glut","038 DG-PIR Ex IMN","24 MY Glut","261 HB Calcb Chol","12","Meis2"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_G1","Cortical projection neurons 2_12","Cortical projection neurons 2_12_Brain",0.589061084640751,0.487518883482465,0.487518883482465,0.934962108919993,"Cortical projection neurons 1","Cortical projection neurons 1_21","Glutamatergic","L5 ET","CS20230722_CLAS_02","02 NP-CT-L6b Glut",1,"CS20230722_SUBC_033","033 NP SUB Glut",1,"CS20230722_SUPT_0128","0128 NP SUB Glut_2",1,"CS20230722_CLUS_0482","0482 NP SUB Glut_2",96,1,"CS20230722_CLAS_19","19 MB Glut",0.75,"CS20230722_SUBC_157","157 RN Spp1 Glut",1,"CS20230722_SUPT_0682","0682 RN Spp1 Glut_1",1,"CS20230722_CLUS_2761","2761 RN Spp1 Glut_1",8215,1,"01 IT-ET Glut","019 L2/3 IT PPP Glut","24 MY Glut","261 HB Calcb Chol","6","L5 ET"
